en_word,pos,level,mp3_url,ru_word,transcription,en_example,ru_example
complain,verb,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/compl/complain__gb_1.mp3,жаловаться,[kəmˈpleɪn],Politicians and businesspeople will complain.,Политики и бизнесмены будут жаловаться.
machine,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mac/machi/machine__gb_1.mp3,машина,[məˈʃi:n],This whole machine is mechanical.,Вся эта машина полностью механическая.
politician,noun,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pol/polit/politician__gb_3.mp3,политик,[ˌpɔlɪˈtɪʃən],This politician is a show-off.,Этот политик пускает пыль в глаза.
linear,adjective,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lin/linea/linear__gb_1.mp3,линейный,[ˈlɪnɪə],And our intuition is linear.,Но наша интуиция линейна.
tower,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tow/tower/tower__gb_4.mp3,башня,['tauə],It's a water tower.,Это водонапорная башня.
overcome,verb,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/ove/overc/overcome__gb_1.mp3,преодолевать,[ˌəuvəˈkʌm],They can overcome their fear.,Они могут преодолеть свой страх.
accelerate,verb,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accel/accelerate__gb_1.mp3,ускорять,[əkˈseləreɪt],We need to accelerate these shifts.,Мы должны ускорить перемены.
football,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/foo/footb/football__gb_2.mp3,футбол,[ˈfutbɔ:l],You played high school football.,В старших классах ты играл в футбол.
past,adjective,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pas/past_/past__gb_1.mp3,прошлый,[pɑ:st],But these are past achievements.,Но всё это достижения прошлого.
compromise,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/compr/compromise__gb_1.mp3,компромисс,,Compromise would smack of weakness.,Компромисс будет признаком слабости.
doubt,noun,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dou/doubt/doubt__gb_1.mp3,сомнение,[daut],"Without any doubt, Piculín Ortiz.","Без всяких сомнений, это был Пикулин Ортис."
stab,verb,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sta/stab_/stab__gb_1.mp3,наносить удар,[stæb],Very difficult to hit anything vital when you stab in the back.,Крайне трудно задеть что-то жизненно важное когда наносишь удар сзади.
slight,adjective,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sli/sligh/slight__gb_1.mp3,незначительный,[slaɪt],"There is, however, a slight bulge.","Правда, есть незначительная выпуклость."
timber,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tim/timbe/timber__gb_1.mp3,древесина,[ˈtɪmbə],""" Impregnation of wooden surfaces "" means any process impregnating timber with preservative;",""" Пропитка деревянных поверхностей "" означает любой процесс пропитывания древесины консервантами;"
laughter,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lau/laugh/laughter__gb_1.mp3,смех,[ˈlɑ:ftə],Laughter is the best medicine.,Смех – лучшее лекарство.
collapse,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/col/colla/collapse__gb_2.mp3,крах,[kəˈlæps],"Worldwide, emerging markets will collapse.",Рынки развивающихся стран во всем мире потерпят крах.
painful,adjective,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pai/painf/painful__gb_1.mp3,болезненный,[ˈpeɪnful],Now comes the painful number:,Далее следуют болезненные цифры:
crop,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cro/crop_/crop__gb_1.mp3,урожай,[krɔp],The poppy crop has grown.,Созрел урожай мака.
flexible,adjective,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fle/flexi/flexible__gb_3.mp3,гибкий,[ˈfleksəbl],Allowing for flexible work arrangements.,Создание возможностей для работы по гибкому графику.
migration,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mig/migra/migration__gb_2.mp3,миграция,[maɪˈɡreɪʃən],Optional: Exchange Online IMAP4 migration,Необязательно: миграция IMAP4 для Exchange Online
anticipate,verb,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ant/antic/anticipate__gb_1.mp3,ожидать,[ænˈtɪsɪpeɪt],We anticipate a heavy rainfall tomorrow.,Мы ожидаем завтра сильный дождь.
reflection,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/ref/refle/reflection__gb_1.mp3,отражение,[rɪˈflekʃən],Angle of incidence equals angle of reflection.,Угол падения равен углу отражения.
defender,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/def/defen/defender__gb_2.mp3,защитник,[dɪˈfendə],Windows Defender Offline start scan,Запуск проверки автономного Защитника Windows
wave,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/wav/wave_/wave__gb_1.mp3,волна,[weɪv],Both alpha and beta wave.,Одновременно альфа и бета волны.
cover,noun,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cov/cover/cover__gb_1.mp3,покрытие,[ˈkʌvə],A flat rate to cover the freight surcharge.,Фиксированная ставка для покрытия надбавки за транспортировку.
guerrilla,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gue/guerr/guerrilla__gb_1.mp3,партизан,[ɡəˈrɪlə],Communities in several areas were affected by blockades and guerrilla actions.,Население ряда зон пострадало в результате перекрытия дорог и действий партизан.
myth,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/myt/myth_/myth__gb_1.mp3,миф,[mɪθ],This was always half myth.,Это всегда было наполовину мифом.
March,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mar/march/march__gb_2.mp3,марш,[mɑ:tʃ],"My mom says, ""Protest march.""","Моя мама говорит: ""Марш протеста""."
firework,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fir/firew/firework__gb_1.mp3,фейерверк,[ˈfaɪəwə:k],The sky was ablaze with fireworks.,Небо пылало фейерверком.
misery,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mis/miser/misery__gb_1.mp3,страдание,[ˈmɪzərɪ],His cup of misery was full.,Его чаша страданий была полна.
tent,noun,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/ten/tent_/tent__gb_2.mp3,палатка,[tent],I'll pitch a tent.,Поставлю в суде палатку.
way,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/way/way__/way__gb_1.mp3,способ,[weɪ],* It's perfect this way,* Это лучший способ для того
foundation,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fou/found/foundation__gb_1.mp3,основа,[faunˈdeɪʃən],Burns today laid out the foundation.,"Бернс сегодня изложил основы того, как это можно сделать."
reproduce,verb,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rep/repro/reproduce__gb_1.mp3,воспроизводить,[ˌri:prəˈdju:s],DNA cannot reproduce by itself.,ДНК не может воспроизводить себя.
experienced,adjective,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/exp/exper/experienced__gb_1.mp3,опытный,[ɪksˈpɪərɪənst],Advanced account for experienced traders,Счет для опытных трейдеров
historic,adjective,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/his/histo/historic__gb_2.mp3,исторический,[hɪsˈtɔrɪk],Europe faces an historic opportunity.,Перед европейцами открывается исторический шанс.
rude,adjective,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rud/rude_/rude__gb_1.mp3,грубый,[ru:d],"You're so brash, rude.","Это ты нахальный, грубый."
stability,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sta/stabi/stability__gb_1.mp3,стабильность,[stəˈbɪlɪtɪ],"Ukraine, Russia, and European Stability","Украина, Россия и европейская стабильность"
merge,verb,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mer/merge/merge__gb_1.mp3,объединять,[mə:dʒ],Click Home > Merge and Center.,Щелкните Главная > Объединить и выровнять по центру.
swing,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/swi/swing/swing__gb_3.mp3,колебание,[swɪŋ],3835: 200% extension of AB swing,3835: 200% расширение колебания AB
attribute,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/att/attri/attribute__gb_2.mp3,атрибут,['ætrɪbjuːt],To disable the heuristics attribute,Чтобы отключить атрибут «heuristics»
minimize,verb,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/min/minim/minimize__gb_2.mp3,сводить к минимуму,[ˈmɪnɪmaɪz],We want to minimize the distance.,Мы хотим свести к минимуму дистанцию.
finance,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fin/finan/finance__gb_4.mp3,финансы,[faɪˈnæns],Chinese Finance Comes of Age,Китайские финансы достигли совершеннолетия
conscience,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcons/xconscience__gb_1.mp3,совесть,[ˈkɔnʃəns],The Conscience of a Conservative?,Совесть консерватора?
rub,verb,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rub/rub__/rub__gb_1.mp3,потирать,[rʌb],"Eggs, crumbs, little rub, quick fry.","Яйца, панировочные сухари, немного потереть, быстренько поджарить."
size,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/siz/size_/size__gb_3.mp3,размер,[saɪz],Size it as you like.,Настройте нужный размер.
surprise,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sur/surpr/surprise__gb_1.mp3,сюрприз,[səˈpraɪz],But it was good surprise.,Но это был хороший сюрприз.
feminist,adjective,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fem/femin/feminist__gb_1.mp3,феминистский,[ˈfemɪnɪst],The Middle East’s Feminist Revolution,Феминистская революция Ближнего Востока
audit,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aud/audit/audit__gb_1.mp3,ревизия,[ˈɔ:dɪt],Audit of the regional commissions,Ревизия региональных комиссий
rape,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rap/rape_/rape__gb_1.mp3,изнасилование,[reɪp],Sweden’s Other Rape Suspects,Прочие подозреваемые в изнасиловании в Швеции
headache,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hea/heada/headache__gb_1.mp3,головная боль,[ˈhedeɪk],Tom has a bad headache.,У Тома сильная головная боль.
trait,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tra/trait/trait__gb_1.mp3,черта,[treɪ],This trait also tells us a lot about politics.,Эти характерные черты так же отражаются на политике.
furniture,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fur/furni/furniture__gb_1.mp3,мебель,[ˈfə:nɪtʃə],"We, uh, manufacture wooden furniture.",Мы занимается изготовлением деревянной мебели.
guess,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gue/guess/guess__gb_1.mp3,предположение,[ɡes],Best guess what's onboard?,"Есть предположение, что на борту?"
beer,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bee/beer_/beer__gb_1.mp3,пиво,[bɪə],Beer is brewed from malt.,Пиво варится из солода.
opposed,adjective,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/opp/oppos/opposed__gb_1.mp3,противоположный,[əˈpəuzd],Is technology diametrically opposed to nature?,Является ли технология диаметрально противоположной природе?
contemporary,adjective,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcont/xcontemporary__gb_2.mp3,современный,[kənˈtempərərɪ],"It's contemporary darling, no tutus.","Это современная постановка, дорогая, без пачек."
row,noun,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/row/row__/row__gb_1.mp3,строка,,(absolute column and absolute row),$A$1 (абсолютный столбец и абсолютная строка)
spine,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/spi/spine/spine__gb_1.mp3,позвоночник,[spaɪn],A spine takes several years.,А позвоночнику необходимо несколько лет.
tall,adjective,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tal/tall_/tall__gb_2.mp3,высокий,[tɔ:l],Acquire a very tall stepladder.,Раздобудь очень высокую лестницу.
historical,adjective,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/his/histo/historical__gb_1.mp3,исторический,[hɪsˈtɔrɪkəl],This historical monument attracts tourists.,Этот исторический памятник привлекает туристов.
accent,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accen/accent__gb_1.mp3,акцент,['æks(ə)nt],He does have an accent.,У него действительно лёгкий акцент.
vegetable,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/v/veg/veget/vegetable__gb_1.mp3,овощ,[ˈvedʒɪtəbl],Maybe a vegetable or salad.,Может быть овощи или салат.
await,verb,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/awa/await/await__gb_1.mp3,ожидать,[əˈweɪt],Russians await Putin’s decision,В ожидании путинского решения россияне рассматривают свои варианты
relief,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rel/relie/relief__gb_2.mp3,помощь,[rɪˈli:f],Providing relief to the poor.,помощь малообеспеченным;
choice,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cho/choic/choice__gb_1.mp3,выбор,[tʃɔɪs],You left Gorsky no choice!,Вы не оставили Горскому выбора!
drum,noun,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dru/drum_/drum__gb_2.mp3,барабан,[drʌm],She can play the drum.,Она умеет играть на барабане.
betray,verb,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bet/betra/betray__gb_1.mp3,предавать,[bɪˈtreɪ],But not to betray Nao.,Но и не предавал Нао.
surplus,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sur/surpl/surplus__gb_1.mp3,профицит,[ˈsə:pləs],Germany’s Misunderstood Trade Surplus,Ошибки в понимании торгового профицита Германии
cynical,adjective,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cyn/cynic/cynical__gb_1.mp3,циничный,[ˈsɪnɪkəl],But the Republican Party is cynical.,Но Республиканская партия цинична.
description,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/des/descr/description__gb_2.mp3,описание,[dɪsˈkrɪpʃən],Description of the removed content,Описание удаленных материалов
revenue,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rev/reven/revenue__gb_2.mp3,доход,[ˈrevɪnju:],To throw off inland revenue?,"Хоть что-то, что приносит доход?"
desert,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/des/deser/desert__gb_3.mp3,пустыня,['dezət],I hate the freaking desert.,Ненавижу эти долбаные пустыни.
amazing,adjective,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ama/amazi/amazing__gb_1.mp3,удивительный,[əˈmeɪzɪŋ],An amazing gymnast and dancer.,Удивительная гимнастка и плясунья.
disruption,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/disru/disruption__gb_3.mp3,сбой,[dɪsˈrʌpʃən],"But, as night follows day, such a disruption is inevitable.","Но как день следует за ночью, так и сбой неизбежен после восстановления."
inherent,adjective,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/inh/inher/inherent__gb_2.mp3,присущий,[ɪnˈhɪərənt],Its inherent economic strength has become more obvious.,Изначально присущие Америке экономические преимущества стали более очевидными.
parental,adjective,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/par/paren/parental__gb_1.mp3,родительский,[pəˈrentl],Set parental controls for Xbox 360,Установка родительского контроля на консоли Xbox 360
pot,noun,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pot/pot__/pot__gb_1.mp3,горшок,[pɔt],Your chamber pot is empty.,Ваш ночной горшок пуст.
river,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/riv/river/river__gb_1.mp3,река,[ˈrɪvə],The river is deep here.,Река здесь глубокая.
shame,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sha/shame/shame__gb_1.mp3,стыд,[ʃeɪm],"Shame is ""I am bad.""","Стыд это ""я плохой""."
stress,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/str/stres/stress__gb_2.mp3,стресс,[stres],"This job is stress, John.","Эта работа и есть стресс, Джон."
remove,verb,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rem/remov/remove__gb_2.mp3,удалять,[rɪˈmu:v],Remove a 1st degree connection.,удалить контакт 1-го уровня.
patient,adjective,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pat/patie/patient__gb_2.mp3,пациента,[ˈpeɪʃənt],Our standard see-through patient.,Схема нашего обычного пациента.
propaganda,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pro/propa/propaganda__gb_1.mp3,пропаганда,[ˌprɔpəˈɡændə],It patently veers toward propaganda.,Она явно меняется в зависимости от пропаганды.
dumb,adjective,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dum/dumb_/dumb__gb_1.mp3,тупой,[dʌm],"Reckless, dumb, and especially stubborn.","Безбашенного, тупого и особенно упрямого."
patron,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pat/patro/patron__gb_1.mp3,покровитель,[ˈpeɪtrən],"An actress needs a patron, silly.","Актрисе нужен покровитель, чудик."
reason,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rea/reaso/reason__gb_2.mp3,причина,[ˈri:zn],And there's a reason.,и тому есть причина.
clean,adjective,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cle/clean/clean__gb_2.mp3,чистый,[kli:n],very clean and well kept,очень чисто и ухоженно
ankle,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ank/ankle/ankle__gb_1.mp3,лодыжка,[ˈæŋkl],She twisted her ankle practicing.,Она вывихнула лодыжку на тренировке.
manner,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/man/manne/manner__gb_1.mp3,образ,[ˈmænə],Hermes hang up on in the rudest possible manner.,"Гермес, брось трубку самым грубым образом."
pursuit,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pur/pursu/pursuit__gb_2.mp3,преследование,[pəˈsju:t],"It's a godly pursuit, man.","Это - благочестивое преследование, парень."
sandwich,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/san/sandw/sandwich__gb_8.mp3,сэндвич,[ˈsænwɪdʒ],Because of a ham sandwich?,Из-за сэндвича с ветчиной?
ambitious,adjective,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/amb/ambit/ambitious__gb_1.mp3,амбициозный,[æmˈbɪʃəs],It was an ambitious plan.,Это был амбициозный проект.
translate,verb,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tra/trans/translate__gb_2.mp3,переводить,[trænsˈleɪt],I must translate the sentences.,Я должен перевести эти предложения.
practitioner,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pra/pract/practitioner__gb_1.mp3,практик,[prækˈtɪʃnə],More of a general practitioner.,"Скорее, врач общей практики."
instruction,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/ins/instr/instruction__gb_2.mp3,инструкция,[ɪnˈstrʌkʃən],there's no instruction manual.,нет никакой инструкции.
beast,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bea/beast/beast__gb_1.mp3,зверь,,Expect no love from the beast below.,Ждать от зверя не стоит любви в ответ.
repair,noun,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rep/repai/repair__gb_1.mp3,ремонт,[rɪˈpɛə],Submit an online repair request.,Отправьте заявку на ремонт по Интернету.
incidence,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/inc/incid/incidence__gb_2.mp3,заболеваемость,[ˈɪnsɪdəns],Stratification by intensity of incidence of malaria at departmental and district levels,стратификация по уровням заболеваемости малярией в масштабах департаментов и округов;
investigate,verb,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/inv/inves/investigate__gb_2.mp3,расследовать,[ɪnˈvestɪɡeɪt],They said they would investigate.,"Они сказали, что проведут расследование."
role,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rol/role_/role__gb_2.mp3,роль,[rəul],About Role Center page components,О компонентах страницы центра ролей
blue,adjective,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blu/blue_/blue__gb_2.mp3,голубой,[blu:],"Er, just a blue pullover.",Только голубой пуловер.
combine,verb,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/combi/combine__gb_1.mp3,объединять,[kəm'baɪn],Combine service orders [AX 2012],Объединение заказов на обслуживание [AX 2012]
glad,adjective,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gla/glad_/glad__gb_1.mp3,довольный,[ɡlæd],Well I'm glad you're so pleased Rachel.,"Я рад что ты довольна, Рейчел."
romantic,adjective,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rom/roman/romantic__gb_1.mp3,романтический,[reuˈmæntɪk],What about the romantic dinners?,Что насчет романтических ужинов?
salary,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sal/salar/salary__gb_2.mp3,оклад,[ˈsælərɪ],"Salary scales, benefits and entitlements","Шкалы окладов, льготы и пособия"
born,verb,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bor/born_/born__gb_1.mp3,рождаться,[bɛə],"It was my curse to bear, being born into a family with a history as pianists.","Это было моим проклятием, родиться в семье потомственных пианистов."
thank,verb,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tha/thank/thank__gb_1.mp3,благодарить,[θæŋk],Thank you for your patience.,Благодарим за терпение.
architectural,adjective,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/arc/archi/architectural__gb_1.mp3,архитектурный,[ˌɑ:kɪˈtektʃərəl],"issue, position and architectural manifestation.","проблема, позиции и архитектурное решение."
outfit,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/out/outfi/outfit__gb_2.mp3,одежда,[ˈautfɪt],That's the best outfit you've ever worn.,"Это лучшая одежда из того, что ты когда-либо носил."
coincide,verb,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/coi/coinc/coincide__gb_1.mp3,совпадать,[ˌkəuɪnˈsaɪd],"So, for once, our professional interests coincide.","Так что на этот раз, наши интересы совпадают."
association,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ass/assoc/association__gb_2.mp3,ассоциация,[əˌsəusɪˈeɪʃən],Canadian Association on Gerontology (CAG),Канадская ассоциация геронтологии (КАГ)
people,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/peo/peopl/people__gb_4.mp3,люди,[ˈpi:pl],Such people exist in universities.,Такие люди учатся в университетах.
reign,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rei/reign/reign__gb_1.mp3,господство,[reɪn],Duterte’s Reign of Terror,Господство террора Дутерте
variety,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/v/var/varie/variety__gb_1.mp3,разновидность,[vəˈraɪətɪ],Name of the variety (optional).,название разновидности (факультативно). С.
audience,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aud/audie/audience__gb_1.mp3,аудитория,[ˈɔ:djəns],Creating Audiences with Audience Insights,Создание аудиторий при помощи Статистики аудитории
successive,adjective,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/suc/succe/successive__gb_2.mp3,последовательный,[səkˈsesɪv],It is hard to win four successive games.,Трудно выиграть в четырёх последовательных играх.
warn,verb,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/war/warn_/warn__gb_1.mp3,предупреждать,[wɔ:n],To warn everyone of the danger.,Чтобы предупредить всех об опасности.
conclusion,noun,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconc/xconclusion__gb_3.mp3,вывод,[kənˈklu:ʒən],I put off the conclusion.,Я отложил вывод.
firm,adjective,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fir/firm_/firm__gb_2.mp3,твердый,[fə:m],"He was encouraging, but firm.",Он звучал воодушевляюще и твёрдо.
reduce,verb,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/red/reduc/reduce__gb_2.mp3,сокращать,[rɪˈdju:s],The aim is to reduce unemployment.,"Основная цель заключается в том, чтобы сократить уровень безработицы."
indicator,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/ind/indic/indicator__gb_2.mp3,показатель,[ˈɪndɪkeɪtə],Adolescent fertility rate (strategic plan indicator);,коэффициент подростковой фертильности (показатель стратегического плана);
intact,adjective,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/int/intac/intact__gb_1.mp3,целый,[ɪnˈtækt],"Okay, so everything around it is whole and intact.","Итак, все вокруг него целое и невредимое."
accumulation,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accum/accumulation__gb_1.mp3,накопление,[əˌkju:mjuˈleɪʃən],But the accumulation of experience is proving invaluable.,Но накопление опыта доказало свою ценность.
warm,adjective,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/war/warm_/warm__gb_1.mp3,теплый,[wɔ:m],Multiple warm lavage is safer.,Несколько теплых промываний безопаснее.
sexual,adjective,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sex/sexua/sexual__gb_1.mp3,сексуальный,[ˈseksjuəl],War crime of sexual violence,Военное преступление в виде сексуального насилия
characterize,verb,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cha/chara/characterize__gb_2.mp3,характеризовать,[ˈkærɪktəraɪz],Mathematicians like to characterize things by being formalist.,Математики обычно характеризуют вещи формальным образом.
replacement,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rep/repla/replacement__gb_1.mp3,замена,[rɪˈpleɪsmənt],Undoing song erasing and replacement,Отмена удаления и замены звуковой дорожки
awful,adjective,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/awf/awful/awful__gb_1.mp3,ужасный,[ˈɔ:ful],Now that sounds pretty awful.,Это звучит ужасно.
connect,verb,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconn/xconnect__gb_1.mp3,подключать,[kəˈnekt],Connect to same user account,Подключение к той же учетной записи пользователя
challenging,adjective,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cha/chall/challenging__gb_3.mp3,сложный,,Your probation period will be challenging.,Твой испытательный срок будет сложной задачей.
